xrdp:/run/xrdp:/usr/sbin/nologin
www-data:/var/www:/usr/sbin/nologin
uucp:/var/spool/uucp:/usr/sbin/nologin
usbmux:/var/lib/usbmux:/usr/sbin/nologin
tss:/var/lib/tpm:/bin/false
tomek:/home/tomek:/bin/bash
Tomek1:/home/Tomek1:/bin/bash
tcpdump:/nonexistent:/usr/sbin/nologin
systemd-timesync:/:/usr/sbin/nologin
systemd-network:/:/usr/sbin/nologin
sys:/dev:/usr/sbin/nologin
sync:/bin:/bin/sync
stunnel4:/var/run/stunnel4:/usr/sbin/nologin
student:/home/student:/bin/bash
strongswan:/var/lib/strongswan:/usr/sbin/nologin
statd:/var/lib/nfs:/usr/sbin/nologin
sslh:/nonexistent:/usr/sbin/nologin
sshd:/run/sshd:/usr/sbin/nologin
speech-dispatcher:/run/speech-dispatcher:/bin/false
saned:/var/lib/saned:/usr/sbin/nologin
rwhod:/var/spool/rwho:/usr/sbin/nologin
rtkit:/proc:/usr/sbin/nologin
_rpc:/run/rpcbind:/usr/sbin/nologin
root:/root:/usr/bin/zsh
redsocks:/var/run/redsocks:/usr/sbin/nologin
redis:/var/lib/redis:/usr/sbin/nologin
pulse:/run/pulse:/usr/sbin/nologin
proxy:/bin:/usr/sbin/nologin
postgres:/var/lib/postgresql:/bin/bash
polkitd:/:/usr/sbin/nologin
Patryk:/home/Patryk:/bin/bash
ntpsec:/nonexistent:/usr/sbin/nologin
nobody:/nonexistent:/usr/sbin/nologin
nm-openvpn:/var/lib/openvpn/chroot:/usr/sbin/nologin
nm-openconnect:/var/lib/NetworkManager:/usr/sbin/nologin
news:/var/spool/news:/usr/sbin/nologin
mysql:/nonexistent:/bin/false
mosquitto:/var/lib/mosquitto:/usr/sbin/nologin
miredo:/var/run/miredo:/usr/sbin/nologin
messagebus:/nonexistent:/usr/sbin/nologin
man:/var/cache/man:/usr/sbin/nologin
mail:/var/mail:/usr/sbin/nologin
lp:/var/spool/lpd:/usr/sbin/nologin
list:/var/list:/usr/sbin/nologin
linda:/home/linda:/bin/bash
lightdm:/var/lib/lightdm:/bin/false
kali:/home/kali:/usr/bin/zsh
irc:/run/ircd:/usr/sbin/nologin
iodine:/run/iodine:/usr/sbin/nologin
inetsim:/var/lib/inetsim:/usr/sbin/nologin
_gvm:/var/lib/openvas:/usr/sbin/nologin
_gophish:/var/lib/gophish:/usr/sbin/nologin
geoclue:/var/lib/geoclue:/usr/sbin/nologin
games:/usr/games:/usr/sbin/nologin
_galera:/nonexistent:/usr/sbin/nologin
dnsmasq:/var/lib/misc:/usr/sbin/nologin
Debian-snmp:/var/lib/snmp:/bin/false
daemon:/usr/sbin:/usr/sbin/nologin
colord:/var/lib/colord:/usr/sbin/nologin
bin:/bin:/usr/sbin/nologin
backup:/var/backups:/usr/sbin/nologin
avahi:/run/avahi-daemon:/usr/sbin/nologin
_apt:/nonexistent:/usr/sbin/nologin
